lingwa de planeta,inglish,ruski,worda tip,surse
resti ," (zwo) remain (continue unchanged in place, form or state; be left over)","оставаться (пребывать в прежнем месте или состоянии; быть в остатке; иметься после использования): inplas resti lu go-te for вместо того, чтобы остаться, он пошёл дальше; resti stan продолжать стоять, оставаться стоящим; resta остаток; dai a lu resta de sabahfan! Отдай ему остатки завтрака! resta-ney (reste) остальной, остающийся; restes остальные (люди); lo reste остальное; restika остаток; сдача (деньги); resting пребывание (где-л.); dai bak restika - отдать сдачу; resti baken отставать; оставаться сзади",zwo,
resti pa dom , stay at home,,,
resti stan ," remain standing, stand on",,,
restika , (kwo) remainder; change (money given back),,kwo,
resting ," (kwo) stay, sojourn",,kwo,
restora , (kwo) restoration,,kwo,
restoran , (zwo) restaurant,ресторан,zwo,
restori , (zwo) restore,"восстанавливать, возвращать в прежнее состояние; реставрировать",zwo,
resulta , (kwo) result,"результат; resulti иметь результатом, следовать, вытекать, выходить, получаться; aus un baum resulti tri balka из одного дерева получилось три бревна; resulti ke... в конечном итоге вышло так, что...",kwo,
resulti , (zwo) result,,zwo,
resuma ," (kwo) recapitulation, summary, resume",,kwo,
resumi ," (zwo) recapitulate, sum up, summarize","резюмировать, подытожить; resuma резюме",zwo,
resursa , (kwo) resource,ресурс,kwo,
retena , (kwo) retention,,kwo,
reteni ," (zwo) retain, keep in one’s possession; contain (restrain, control)","удерживать, сохранять (обладание чем-л.); удержать (не дать сделать); сдерживать(ся). Mar reteni surya-ney garmitaa pyu longem kem arda  — Море дольше сохраняет солнечное тепло, чем земля. Reteni kontrola sobre koysa - сохранять контроль над чем-л. Sey klaida reteni forma iven afte mucho wosha. - Эта одежда сохраняет форму даже после многих стирок. reteni swa сдерживать себя; sinretenem безудержно; retena удержание; сдерживание",zwo,
reteni swa , contain oneself,,,
returna , (kwo) return,,kwo,
returni , (zwo) return (come or go back; give back),"возвратить(ся), вернуть(ся); returna возврат, возвращение",zwo,
returni a janmalanda , return to one's native land,,exampla-ney frasa,
reumatisma , (kwo) rheumatism (a short form is «reuma»),ревматизм (кратко reuma),kwo,
revela ," (kwo) revelation, disclosure",,kwo,
reveli ," (zwo) reveal, disclose, uncover","раскрывать, обнаруживать; изобличать; fa-reveli проявляться, оказываться: riva fa-reveli ga chyen река оказалась совсем мелкой; reveli ke как оказалось, как выяснилось; reveli swa kom проявить себя как...; revela открытие, раскрытие, разоблачение; откровение",zwo,
reveli ke , as it turned out,,,
reveli swa , reveal oneself,,,
reveransa ," (kwo) curtsey, curtsy",реверанс; reveransi делать реверанс,kwo,
reveransi , (zwo) curtsey,,zwo,
reversa , (kwo) reverse (back side of anything); reversal,"реверс, оборотная сторона; возврат, отход (к прежнему состоянию); изменение движения на противоположное; reversi сменять направление на обратное; reversa-ney (reverse) оборотный, обратный; sin reversa бесповоротно",kwo,
reversa-ney (reverse) , (kwel) reverse,,kwel,
reversi , (zwo) reverse (turn or move in the opposite direction),,zwo,
revolusion , (kwo) revolution (overthrow of government; a momentous change in a situation),,kwo,
revolusion-ney , (kwel) revolutionary,,kwel,
ri ," (syao) “again, anew”","приставка, означающая повторение или переделку: riapari снова появиться, rizwo переделать, riformi переформировать; rifreshisi освежить",syao,
riapari , to reappear,,,
riba , (kwo) rib (anat. and fig.),ребро,kwo,
ribegin , (zwo) recommence Syn.: starti,,zwo,
riche , (kwel) rich,богатый; fa-riche разбогатеть; richitaa богатство,kwel,
richenesa , (kwo) richness,,kwo,
rida , (kwo) laugh,,kwo,
ridi , (zwo) laugh,"смеяться; rida смех; ek-rida смешок, усмешка; ridival смехотворный",zwo,
ridival ," (kwel) laughable, ridiculous",,kwel,
rif,2) riff (music),риф; рифф (муз.),,
rif , (kwo) 1) reef (rocks at or near surface of water),риф; рифф (муз.),kwo,Russian
rifai spira , catch one's breath,,,
rifla , (kwo) rifle (firearm with a rifled barrel),винтовка,kwo,Faroese
rifreshisi (rimah-freshe) ," (zwo) refresh, freshen up",,zwo,
rigide ," (kwel) rigid, stiff, unyielding","ригидный, жёсткий, тугой, неподатливый, не склонный к изменению",kwel,
rigiditaa , (kwo) rigidity,,kwo,
rijivi ," (zwo) resuscitate, revive",,zwo,
rijivifi , (zwo) return to life,,zwo,
rijivisi , (zwo) bring back to life,,zwo,Hindi
"rikonsi, rifai konsa "," (zwo) revive, regain consciousness; come to one's senses",,zwo,
riladi ," (zwo) refix, restore to normal",,zwo,Russian
rima , (kwo) rhyme,рифма; рифмованное стихотворение; rimi рифмовать(ся),kwo,
rimi , (zwo) rhyme,,zwo,
ring , (kwo) (boxing) ring,ринг,kwo,
Rio de Janeiro , (kwo) Rio de Janeiro,Рио-де-Жанейро,kwo,
ris , (kwo) rice,рис,kwo,
risalti ," (zwo) bounce, rebound, recoil",,zwo,
rishte ," (kwel) kindred, related, akin","родственный; rishtitaa родство; rishtejen, rishta родственник; rishtejenta родня",kwel,
"rishtejen, rishta "," (kwo) kinsman, relative",,kwo,
rishtejenta ," (kwo) kinsfolk, relatives, relations, kin",,kwo,Hindi
rishtitaa ," (kwo) kindred, kinship, relationship",,kwo,
rishvat , (kwo) bribe,"взятка, rishvati подкупать, давать взятку",kwo,
rishvati ," (zwo) bribe, suborn",,zwo,Arabic
risin , (kwo) ricin,рицин; risinbush клещевина; risinolea касторовое масло,kwo,
risinbush , (kwo) castor oil plant,,kwo,
risinolea , (kwo) castor oil,,kwo,
riska ," (kwo) risk, hazard",риск; riski рисковать,kwo,
riski ," (zwo) risk, hazard",,zwo,
rista normale , recover to normal condition,,,
riter , (kwo) knight,рыцарь; riterkros do butondun рыцарский крест в петлицу,kwo,German
ritma , (kwo) rhythm,ритм; темп; ritmike ритмический,kwo,
ritmike ," (kwel) rhythmic, rhythmical",,kwel,
ritual ," (kwo) ritual, rite",ритуал; обряд; ritual-ney ритуальный,kwo,
ritual-ney , (kwel) ritual,,kwel,German
riva , (kwo) river,река,kwo,
Riva es tuy afte dom. , The river is right after the house.,,,
riva fa-reveli chyen , the river turned out to be shallow,,,
rividi , (zwo) see again,,zwo,
riza , (kwo) root (also math.),корень; riza-ney корневой,kwo,
riza-ney , (kwel) radical (of or pertaining to a root or to the intrinsic nature of smth),,kwel,Greek
rizwo , to redo,,,
roba ," (kwo) dress, gown",платье (женское); shamba-roba домашний халат,kwo,
rodyum , (kwo) rhodium (chem.),родий,kwo,
rogen , (kwo) rye,рожь,kwo,German
roka ," (kwo) rock (a relatively large body of rock, as a cliff or peak)",скала,kwo,Spanish
Roka-ney Montas , (kwo) Rocky Mountains,Скалистые горы,kwo,
rokada , (kwo) castling (chess),рокировка (шахм.); rokadi рокироваться,kwo,
rokadi , (zwo) castle (chess),,zwo,
"rola, roling "," (kwo) roll (act), rolling",,kwo,
roli , (zwo) roll,"катить, катать; скатывать, сворачивать; раскатисто произносить; rolika рулон, свиток, валик, ролик; rolisketas роликовые коньки; rolikama каталка (медицинская)",zwo,
rolika , (kwo) roll; roller,,kwo,
rolikama , (kwo) wheeled bed See also: volvi,,kwo,
rolisketas , (kwo) roller skates,,kwo,
rom , (kwo) rum,ром,kwo,
Roma , (kwo) Rome (capital of Italy),Рим; Roma-ney imperia Римская империя,kwo,
Roma , (kwo) Rome,Рим; Roma-ney imperia Римская империя,kwo,
Roma-ney imperia , Roman Empire,,,
romale ," (kwel, kwo) Gipsy; a Gipsy; the Gipsy language",цыган; цыганский; цыганский язык,kwo-kwel,
roman , (kwo) novel (rather large),роман; roman-ki повесть,kwo,Mongolian
roman-ki ," (kwo) short novel, story, narrative",,kwo,
Romania , (kwo) Rumania,Румыния,kwo,
romanike ," (kwel) Romance, Romanic",романский: romanike lingwas романские языки,kwel,
romanike lingwa , Romance language,,,
romantika ," (kwo) romanticism, romance","романтика; romantike романтический, романтичный; romantiker романтик",kwo,
romantike , (kwel) romantic,,kwel,
romantiker ," (kwo) romanticist, romantic",,kwo,
ronda , (kwo) round (a circular object/route),,kwo,
ronde , (kwel) round,"круглый; округлый; без углов, закруглённый; ronda круг, округлая фигура, округлая замкнутая линия; pa ronda по кругу; rondika кружок, кругляшок, круглый предмет",kwel,
